"","T_MAPCODE","T_BIOME","tar_sa","tar_gbf","ext_veg","ext_vegrem","ext_vegpa24","ext_vegrempa24","ext_invpa24","prp_pa_base24","ext_tar_sa","ext_tar_gbf","epl_base24","epl_nat24","ext_vegrempa_inv24","epl_nat_inv24"
"269","SVs4","Savanna",25,30,803.1036,325.9052,0,0,0,0,200.7759,240.93108,"NP","NP",0,"NP"
"270","SVs5","Savanna",25,30,1812.6008,250.3336,13.326,4.5836,0.8952,0.00735186699685888,453.1502,543.78024,"NP","NP",3.95696,"NP"
"271","SVs8","Savanna",19,30,1527.7652,848.6824,46.52,37.4108,0.998,0.0304497052295732,290.275388,458.32956,"PP","PP",36.7122,"PP"
"272","FOa3","Forests",26,30,23.8196,20.558,9.6548,9.2572,0,0.405330064316781,6.193096,7.14588,"WP","WP",9.2572,"WP"
"273","AZd1","Azonal Vegetation",26,30,6.4404,0.3172,0,0,0,0,1.674504,1.93212,"NP","NP",0,"NP"
"274","AZa3","Azonal Vegetation",31,30,870.8164,530.9836,69.3004,66.7504,0.0708,0.0795809541483141,269.953084,261.24492,"PP","PP",66.70084,"PP"
"275","AZi3","Azonal Vegetation",24,30,1936.2996,1914.6164,365.94,360.254,0,0.18898934854916,464.711904,580.88988,"MP","MP",360.254,"MP"
"276","Dn1","Desert",28,30,17.0928,1.3532,0.3348,0.2332,0,0.0195871946082561,4.785984,5.12784,"PP","NP",0.2332,"NP"
"277","Dn3","Desert",28,30,139.9224,122.5984,22.1668,18.6948,0,0.15842209681938,39.178272,41.97672,"MP","PP",18.6948,"PP"
"278","Dg1","Desert",34,30,335.9332,332.8976,335.9332,332.8976,0,1,114.217288,100.77996,"WP","WP",332.8976,"WP"
"279","Dg10","Desert",34,30,2094.682,2084.2796,3.302,3.302,0,0.00157637292916061,712.19188,628.4046,"NP","NP",3.302,"NP"
"280","Dg2","Desert",34,30,361.43,361.3932,361.43,361.3932,0,1,122.8862,108.429,"WP","WP",361.3932,"WP"
"281","Dg3","Desert",34,30,160.0684,156.4688,160.0684,156.4688,0,1,54.423256,48.02052,"WP","WP",156.4688,"WP"
"282","Dg4","Desert",34,30,107.7996,107.1928,107.7996,107.1928,0,1,36.651864,32.33988,"WP","WP",107.1928,"WP"
"283","Dg5","Desert",34,30,592.286,591.9344,574.516,574.1648,0,0.969997602509598,201.37724,177.6858,"WP","WP",574.1648,"WP"
"284","Dg6","Desert",34,30,8.2236,8.1068,6.0884,5.9992,0,0.740357021255898,2.796024,2.46708,"WP","WP",5.9992,"WP"
"285","Dg7","Desert",34,30,247.0048,244.0452,1.6376,1.6156,0,0.0066298306753553,83.981632,74.10144,"NP","NP",1.6156,"NP"
"286","Dg8","Desert",34,30,343.1992,342.9244,2.5928,2.5928,0,0.00755479616502603,116.687728,102.95976,"NP","NP",2.5928,"NP"
"287","Dg9","Desert",34,30,1217.99,1198.2608,33.1304,33.1296,0,0.027200880138589,414.1166,365.397,"PP","PP",33.1296,"PP"
"288","Dn4","Desert",28,30,217.0148,194.7612,6.3372,2.3644,0,0.0292016949996037,60.764144,65.10444,"PP","NP",2.3644,"NP"
"289","Dn5","Desert",28,30,418.2756,384.4044,49.9852,42.0028,0,0.119503026234378,117.117168,125.48268,"PP","PP",42.0028,"PP"
"290","Dn2","Desert",36,30,1.5428,1.01,1.5084,1.01,0,0.977702877884366,0.555408,0.46284,"WP","WP",1.01,"WP"
"291","FFq1","Fynbos",28,30,49.024,49.024,49.024,49.024,0,1,13.72672,14.7072,"WP","WP",49.024,"WP"
"292","NKb1","Nama-Karoo",21,30,4671.204,4637.4332,165.9076,165.7156,0.0156,0.0355170958065629,980.95284,1401.3612,"PP","PP",165.70468,"PP"
